Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,Total Points
1,Free Agent,D.Colquitt,KC,0,0.0,1.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,-0.13333333333333358,0.1,0.6000000000000001,-0.0,5.566666666666666
1,Free Agent,R.Allen,NE,0,0.0,0.0,0.3,1,0.0,0.0,2,0.0,0.0,0.0,-0.46666666666666645,0.65,0.5,-0.0,3.9833333333333334
1,Free Agent,L.Edwards,NYJ,0,0.0,0.0,0.15,4,0.0,0.0,2,0.75,0.5,0.0,0.45,0.025,0.2,-0.0,8.075000000000001
1,Free Agent,C.Schmidt,BUF,0,0.4,0.5,0.0,2,0.0,0.0,1,0.0,0.0,0.0,-0.21666666666666645,-0.0,0.30000000000000004,-0.5,3.4833333333333334
1,Free Agent,M.Bosher,ATL,0,0.0,0.0,0.0,3,0.75,0.0,0,0.0,0.0,0.0,1.4333333333333336,-0.6000000000000001,0.5,-0.0,5.083333333333334
1,Free Agent,P.O'Donnell,CHI,0,0.4,0.25,0.0,3,0.75,0.0,3,0.0,0.0,0.0,0.3799999999999997,-0.30000000000000004,0.30000000000000004,-0.0,7.78
1,Free Agent,K.Huber,CIN,0,0.0,0.25,0.15,2,0.0,0.0,1,0.75,0.0,0.0,-0.2600000000000002,0.1333333333333333,0.0,-0.0,4.023333333333333
1,Free Agent,S.Koch,BAL,0,0.0,0.5,0.15,1,0.0,0.0,2,0.75,0.0,0.0,-0.3333333333333336,0.43333333333333335,0.4,-0.0,4.9
1,Free Agent,B.Colquitt,CLE,-2,0.0,0.0,0.0,3,0.75,0.0,3,0.75,0.0,0.0,0.33999999999999986,-0.16666666666666663,0.2,-0.0,5.873333333333333
1,Free Agent,J.Berry,PIT,0,0.0,0.25,0.3,1,0.0,0.0,0,0.0,0.0,0.0,0.08333333333333358,-0.2333333333333334,0.2,-0.0,1.6
1,Free Agent,K.Redfern,DET,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.5,0.9,0.0,-0.0,2.4
1,Free Agent,A.Lee,ARI,0,0.0,0.0,0.15,1,0.0,0.0,0,0.0,0.0,0.0,0.1,-0.7000000000000001,0.2,-0.5,0.25
1,Free Agent,M.Prater,DET,0,0.0,0.5,0.0,0,0.0,0.0,1,0.75,0.0,0.0,-1.0250000000000001,0,0.2,-0.0,1.4249999999999998
1,Free Agent,S.Lechler,HOU,0,0.0,0.75,0.15,2,0.0,0.0,2,0.0,0.0,0.0,-0.17999999999999972,0.2,0.1,-0.0,5.0200000000000005
1,Free Agent,B.Nortman,JAX,0,0.4,0.25,0.15,2,0.75,0.0,0,0.0,0.0,0.0,0.17500000000000002,-1.2000000000000002,0.4,-1.0,1.9249999999999994
1,Free Agent,B.Kern,TEN,0,0.4,0.25,0.15,1,0.0,0.0,2,0.0,0.0,0.0,0.2,0.4,0.4,-0.5,4.300000000000001
1,Free Agent,M.King,OAK,0,0.4,0.0,0.0,2,0.0,0.0,1,0.75,0.5,0.0,0.7666666666666665,0.4,0.6000000000000001,-0.0,6.416666666666668
1,Free Agent,T.Way,WAS,0,0.0,0.5,0.15,1,0.0,0.0,2,0.75,0.0,0.0,-0.45,0,0.2,-0.0,4.15
1,Free Agent,D.Jones,PHI,0,0.0,0.25,0.0,1,0.0,0.0,1,0.75,0.5,0.25,-0.25,0.75,0.4,-0.5,4.15
1,Free Agent,R.Sanchez,IND,0,0.0,0.0,0.44999999999999996,3,0.0,0.0,2,0.0,0.0,0.0,0.5333333333333335,0.4,0.1,-1.0,5.483333333333333
1,Free Agent,J.Hekker,LA,0,0.0,0.0,0.15,0,0.0,0.0,5,1.5,0.0,0.0,-0.13999999999999987,0.9,0.6000000000000001,-0.0,8.010000000000002
1,Free Agent,J.Ryan,SEA,0,0.0,0.25,0.0,3,0.0,0.0,4,1.5,0.5,0.0,0.08333333333333358,0.9,0.30000000000000004,-0.0,10.533333333333335
1,Free Agent,J.Vogel,GB,0,0.0,1.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.12000000000000029,0.2,0.30000000000000004,-0.0,3.38
1,Free Agent,B.Pinion,SF,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-0.42500000000000004,0.6666666666666666,0.1,-0.0,1.5916666666666668
1,Free Agent,M.Palardy,CAR,0,0.0,0.25,0.15,2,0.0,0.0,1,0.0,0.0,0.0,0.6666666666666665,-0.0,0.5,-0.0,4.566666666666666
1,Free Agent,C.Jones,DAL,0,0.0,0.75,0.0,1,0.0,0.0,4,1.5,0.0,0.0,-1.0250000000000001,0.1,0.5,-0.0,6.824999999999999
1,Free Agent,B.Wing,NYG,0,0.4,0.5,0.15,1,0.0,0.0,0,0.0,0.0,0.0,-0.01666666666666643,0.9,0.1,-0.0,3.033333333333333
1,Free Agent,T.Morstead,NO,0,0.0,0.0,0.0,2,0.75,0.0,1,0.75,0.0,0.0,1.2000000000000002,0.35000000000000003,0.5,-0.0,6.55
1,Free Agent,R.Quigley,MIN,0,0.0,0.25,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.15000000000000002,0.9,0.5,-0.5,3.0
1,Free Agent,R.Dixon,DEN,0,0.0,0.5,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.30000000000000004,1.2000000000000002,0.4,-0.5,5.9
1,Free Agent,D.Kaser,LAC,0,0.0,0.0,0.15,2,0.75,0.0,2,0.0,0.0,0.0,0.1,-0.7000000000000001,0.30000000000000004,-0.0,4.6
2,O'Leary,S.Lechler,HOU,0,0.0,0.75,0.0,6,0.0,0.0,2,0.0,0.0,0.0,0.3888888888888886,-0.7333333333333333,0.30000000000000004,-0.0,8.705555555555557
2,Free Agent,K.Huber,CIN,0,0.0,0.5,0.15,3,0.75,0.0,6,0.75,0.5,0.0,0.2714285714285715,0.4,0.30000000000000004,-0.0,12.621428571428574
2,Taylor,B.Colquitt,CLE,0,0.0,0.25,0.0,2,0.75,0.0,0,0.0,0.0,0.0,0.7250000000000001,0.2666666666666667,0.2,-0.0,4.191666666666666
2,Free Agent,S.Koch,BAL,0,0.4,0.25,0.15,2,0.75,0.0,4,0.75,0.0,0.0,0.2,0.9,0.4,-0.5,9.3
2,Zack,C.Schmidt,BUF,0,0.0,0.25,0.0,3,0.0,0.0,2,0.0,0.0,0.0,0.45,0.30000000000000004,0.1,-0.0,6.1
2,Fed,M.Palardy,CAR,0,0.0,0.25,0.3,1,0.0,0.0,2,0.75,0.5,0.0,-0.35000000000000003,0.8,0.30000000000000004,-0.0,5.55
