Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Total Points
1,Free Agent,A.Lee,CAR,0,0.8,0.0,0.0,4,1.5,0.5,0,0.0,0.0,0.0,1.8,0.4,9.0
1,Free Agent,R.Dixon,DEN,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.16666666666666644,-0.30000000000000004,0.8666666666666665
1,Connor,M.Bosher,ATL,0,0.0,1.0,0.0,0,0.0,0.0,4,1.5,0.0,0.0,-0.6399999999999999,0,5.86
1,Kane,B.Anger,TB,0,0.0,0.75,0.0,3,0.0,0.0,2,0.75,0.0,0.0,0.4399999999999999,0.2,7.14
1,Free Agent,S.Koch,BAL,0,0.0,0.25,0.15,0,0.0,0.0,0,0.0,0.0,0.0,-0.2333333333333336,1.2000000000000002,1.3666666666666667
1,Free Agent,C.Schmidt,BUF,0,0.4,0.25,0.44999999999999996,1,0.0,0.0,3,1.5,0.0,0.0,-0.02857142857142847,-0.8500000000000001,5.7214285714285715
1,Free Agent,S.Lechler,HOU,0,0.0,0.25,0.0,2,0.75,0.0,1,0.0,0.0,0.0,0.36000000000000015,0.1,4.46
1,David,P.O'Donnell,CHI,0,0.0,1.0,0.0,0,0.0,0.0,2,0.75,0.0,0.0,-0.2714285714285715,0.06666666666666661,3.545238095238095
1,Bandit,B.Nortman,JAC,0,0.0,0.0,0.0,2,0.75,0.0,2,1.5,1.0,0.0,1.75,0,9.0
1,Free Agent,J.Schum,GB,0,0.0,0.25,0.3,1,0.0,0.0,0,0.0,0.0,0.0,0.1,0.5,2.1500000000000004
1,Julian,D.Colquitt,KC,0,0.4,0.0,0.0,1,0.0,0.0,1,0.75,0.0,0.0,-0.5600000000000002,-0.5,2.09
1,Free Agent,D.Kaser,SD,0,0.0,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,-0.94,-0.025,-0.815
1,Ralph,M.King,OAK,0,0.4,0.0,0.0,2,0.75,0.0,1,0.75,0.5,0.0,0.47500000000000003,-0.35000000000000003,5.525
1,Free Agent,T.Morstead,NO,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.25,-0.1,2.15
1,Free Agent,K.Huber,CIN,0,0.0,0.0,0.15,2,0.0,0.0,1,0.0,0.0,0.0,0.30000000000000004,-0.35000000000000003,3.1
1,Free Agent,L.Edwards,NYJ,0,0.0,0.25,0.0,2,0.0,0.0,1,0.75,0.0,0.0,0.6333333333333336,0.15000000000000002,4.783333333333334
1,Fed,B.Colquitt,CLE,0,0.0,0.25,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.5200000000000004,0.5750000000000001,3.3450000000000006
1,Free Agent,D.Jones,PHI,0,1.2000000000000002,0.25,0.0,2,1.5,0.5,3,1.5,0.5,0.25,0.41666666666666646,0,11.116666666666665
1,Gillen,B.Kern,TEN,0,0.4,0.25,0.0,2,0.75,0.0,1,0.0,0.0,0.0,0.12000000000000029,-0.2,4.32
1,Free Agent,J.Locke,MIN,0,0.0,0.5,0.0,1,0.0,0.0,1,0.0,0.0,0.0,-0.7333333333333336,0.5,2.2666666666666666
1,Free Agent,J.Ryan,SEA,0,0.0,0.5,0.0,1,0.0,0.0,2,0.0,0.0,0.0,-0.2833333333333336,-0.1,3.1166666666666663
1,Free Agent,M.Darr,MIA,0,0.4,0.75,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.17142857142857154,0.4333333333333334,6.754761904761906
1,Free Agent,B.Wing,NYG,0,1.2000000000000002,0.0,0.0,4,0.75,0.0,0,0.0,0.0,0.0,0.6399999999999999,-0.1,6.49
1,Free Agent,C.Jones,DAL,0,0.0,0.5,0.15,1,0.0,0.0,1,0.0,0.0,0.0,0.4,0.275,3.3249999999999997
1,Looney,S.Martin,DET,0,0.0,0.25,0.15,4,0.75,0.0,2,0.75,0.0,0.0,1.375,-0.25,9.025
1,Free Agent,P.McAfee,IND,0,0.4,0.0,0.3,1,0.0,0.0,1,0.0,0.0,0.0,0.375,-1.0,2.075
1,Free Agent,D.Butler,ARI,0,0.0,0.75,0.0,0,0.0,0.0,2,0.75,0.0,0.0,-0.9,0.0,2.6
1,Miles,R.Allen,NE,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.05,-0.1,0.1
1,Free Agent,T.Way,WAS,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-1.8,0,-0.55
1,Free Agent,J.Berry,PIT,0,0.0,0.25,0.0,1,0.75,0.0,0,0.0,0.0,0.0,0.8500000000000001,0.8,3.6500000000000004
1,Free Agent,B.Pinion,SF,0,0.0,0.75,0.0,3,0.0,0.0,1,0.75,0.0,0.0,0.05714285714285694,0.05,5.607142857142857
1,Free Agent,J.Hekker,LA,0,0.0,1.75,0.15,2,0.0,0.0,4,0.0,0.0,0.0,-0.18999999999999986,-0.35000000000000003,7.360000000000001
2,Free Agent,C.Schmidt,BUF,0,0.0,0.25,0.15,0,0.0,0.0,1,0.0,0.0,0.0,-0.5666666666666664,0,0.8333333333333335
2,Free Agent,L.Edwards,NYJ,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-0.4,-0.1,0.75
2,Free Agent,A.Lee,CAR,0,0.0,0.5,0.0,0,0.0,0.0,3,0.75,0.5,0.0,-0.4,0,4.35
2,Free Agent,B.Pinion,SF,0,0.0,0.75,0.0,4,0.0,0.0,4,0.75,0.0,0.0,0.042857142857143066,0.033333333333333395,9.576190476190476
2,Free Agent,S.Koch,BAL,0,0.0,0.0,0.15,2,0.75,0.0,2,0.0,0.0,0.0,0.2,-0.25,4.8500000000000005
2,Free Agent,B.Colquitt,CLE,0,0.0,0.5,0.0,1,0.0,0.0,2,0.75,0.5,0.0,0.020000000000000285,0.2,4.970000000000001
2,Fed,S.Martin,DET,0,0.0,0.5,0.15,1,0.0,0.0,5,1.5,0.0,0.0,-0.16000000000000014,0.0,7.99
2,Gillen,B.Kern,TEN,0,0.0,0.0,0.0,2,0.0,0.0,1,0.75,0.5,0.25,0.2333333333333336,0.25,4.983333333333333
2,Julian,D.Colquitt,KC,0,0.0,0.5,0.0,2,0.0,0.0,3,0.75,0.0,0.0,0.25,-0.6000000000000001,5.9
2,Free Agent,S.Lechler,HOU,0,0.0,0.0,0.15,1,0.75,0.0,1,0.0,0.0,0.0,0.47999999999999976,0.675,4.055
2,Free Agent,M.Darr,MIA,0,0.0,0.25,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.47500000000000003,0.2,2.9250000000000003
2,Miles,R.Allen,NE,0,0.0,0.25,0.0,0,0.0,0.0,2,0.0,0.0,0.0,-1.3,0,0.95
2,Free Agent,T.Morstead,NO,0,1.2000000000000002,0.0,0.3,5,0.75,0.0,3,0.0,0.0,0.0,0.9714285714285715,0.0,11.221428571428572
2,Free Agent,B.Wing,NYG,0,0.0,0.0,0.0,2,0.75,0.0,0,0.0,0.0,0.0,1.3,0.45,4.5
2,Free Agent,J.Berry,PIT,0,0.4,0.75,0.15,2,0.0,0.0,5,2.25,0.0,0.0,0.21250000000000002,-0.2666666666666667,10.495833333333334
2,Free Agent,K.Huber,CIN,0,0.0,0.5,0.3,3,0.0,0.0,3,1.5,0.0,0.0,0.022222222222222143,0.0,8.322222222222223
